岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
小游戏主策划,长沙数彼科技有限公司,20-99人,游戏,本科,3-5年,[],"['五险一金', '交通补助', '餐补', '团建聚餐', '绩效奖金', '夜班补助', '零食下午茶', '有无线网', '年终奖', '加班补助', '带薪年假', '保底工资', '包吃']",17500.0,15-20K,湖南,长沙,开福区,四方坪,113.0328513554681,28.230693927096002,https://www.zhipin.com/job_detail/a0efc5fc5165edd60nB42t25E1ZZ.html,a0efc5fc5165edd60nB42t25E1ZZ
游戏数值策划,大梦龙途文化传播,1000-9999人,游戏,本科,3-5年,[],"['年终奖', '生日福利', '定期体检', '零食下午茶', '五险一金', '带薪年假']",18000.0,12-24K·13薪,湖南,长沙,岳麓区,银盆岭,112.9623012725536,28.23565682735324,https://www.zhipin.com/job_detail/47d1c77ccb7a600f0nJ52dq4FFdR.html,47d1c77ccb7a600f0nJ52dq4FFdR
游戏主美术,长沙市橘娃娃网络科技,0-20人,游戏,本科,5-10年,"['有UI设计经验/技能', '五险一金', 'PS', 'Sketch', 'Xd', 'Figma', 'AE', '5年以上UI设计经验', '大小周', '动效设计经验', '游戏行业经验', '擅长手绘', '现场办公']","['带薪年假', '零食下午茶', '五险一金', '团建聚餐']",17500.0,15-20K,湖南,长沙,岳麓区,麓谷,112.87218915854412,28.233946278445885,https://www.zhipin.com/job_detail/2fae6007ddddc5a80nF_3tW_E1NX.html,2fae6007ddddc5a80nF_3tW_E1NX
游戏美术,圣捷游戏,20-99人,游戏,本科,5-10年,[],"['员工旅游', '五险一金', '带薪年假', '节日福利', '全勤奖', '年终奖']",16000.0,11-21K,湖南,长沙,天心区,金盆岭,112.985172,28.165461,https://www.zhipin.com/job_detail/785f7516a417fffa0nd82dq8EFFR.html,785f7516a417fffa0nd82dq8EFFR
cocoscreator游戏开发工程师,长沙上游,20-99人,游戏,本科,5-10年,"['Cocos Creator', '手游开发经验']","['五险一金', '交通补助', '加班补助', '餐补', '全勤奖', '零食下午茶', '定期体检', '带薪年假', '年终奖', '员工旅游', '节日福利']",19500.0,14-25K·13薪,湖南,长沙,岳麓区,梅溪湖,112.89251,28.189505,https://www.zhipin.com/job_detail/309c5f23fe50d0751XF90tu7F1JY.html,309c5f23fe50d0751XF90tu7F1JY
手机游戏开发资深技术（c++、java双精通）,奇葩斗斗,100-499人,游戏,本科,3-5年,"['Java', 'C/C++', '后端开发经验', '手机游戏开发经验', '全栈侧重后端']","['底薪加提成', '节日福利', '意外险', '餐补', '团建聚餐', '生日福利', '带薪年假', '零食下午茶', '绩效奖金', '交通补助', '全勤奖', '年终奖', '五险一金', '定期体检', '有无线网']",17500.0,15-20K,湖南,长沙,岳麓区,银盆岭,112.96230127255359,28.23565682735324,https://www.zhipin.com/job_detail/4f391d4b954ff7ab0nBy29S4E1tQ.html,4f391d4b954ff7ab0nBy29S4E1tQ
