岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
资深测试工程师（客户端系统/性能）,上海某大型游戏公司,1000-9999人,游戏,本科,5-10年,[],"['零食下午茶', '股票期权', '六险一金', '项目奖金', '补充医疗保险', '包吃', '员工旅游', '餐补', '定期体检', '年终奖', '节日福利', '带薪年假', '团建聚餐', '生日福利', '五险一金']",65000.0,50-80K,广东,广州,,,113.384886,23.103678,https://www.zhipin.com/job_detail/980da959af9359930nJ739W0GFVQ.html,980da959af9359930nJ739W0GFVQ
市场主管（游戏）,伦奇信息,20-99人,游戏,大专,5-10年,"['海外广告投放经验', 'Facebook/Instagram或其他社交媒体', 'Youtube或其他视频网站', 'Google或其他搜索引擎', '海外网站账号运营/投放', 'Tik Tok或其他短视频应用', '市场营销/广告学相关专业', '营销策划能力', '文娱/游戏', '数据分析能力']","['带薪年假', '生日福利', '工龄奖', '零食下午茶', '五险一金', '餐补', '法定节假日三薪', '突出贡献奖励', '全勤奖', '节日福利', '绩效奖金', '项目奖金', '团建聚餐', '绩效奖金', '员工旅游', '夜班补助', '优秀员工奖励', '加班补助', '节假日加班费', '年终奖']",27500.0,25-30K,广东,广州,番禺区,南村,113.365,23.018,https://www.zhipin.com/job_detail/8d92b4ae00cf930b0nd73Nq-GVBX.html,8d92b4ae00cf930b0nd73Nq-GVBX
中级cocos游戏开发,锐汇软件科技有限公司,20-99人,游戏,本科,3-5年,"['Cocos Creator', 'Cocos2d-x', '手游开发经验', '计算机/软件工程相关专业']","['节日福利', '节假日加班费', '绩效奖金', '团建聚餐', '法定节假日三薪', '带薪年假', '年终奖', '零食下午茶', '补充医疗保险', '五险一金']",17500.0,15-20K,广东,广州,越秀区,北京路,113.26424842649777,23.114316919225786,https://www.zhipin.com/job_detail/146a515161bda9af0nB73Nm4FlpU.html,146a515161bda9af0nB73Nm4FlpU
游戏策划,某大型游戏公司,500-999人,游戏,本科,经验不限,['SLG游戏'],"['零食下午茶', '年终奖', '交通补助', '生日福利', '定期体检', '六险一金', '团建聚餐', '加班补助', '通讯补贴', '意外险', '全勤奖', '育儿假', '节假日加班费', '员工旅游', '节日福利', '带薪年假']",30000.0,20-40K,广东,广州,,,113.383432,23.116833,https://www.zhipin.com/job_detail/acdc6ebf80c3ac3d0nV709q4FVVY.html,acdc6ebf80c3ac3d0nV709q4FVVY
独立游戏执行,九艺,0-20人,游戏,本科,在校/应届,"['steam', '单机', '系统']","['五险一金', '餐补', '零食下午茶', '节日福利', '带薪年假', '全勤奖', '年终奖']",2500.0,2-3K,广东,广州,天河区,棠下,113.389332,23.126747,https://www.zhipin.com/job_detail/42dde3d251d8bd2d1HB53dy-GVJV.html,42dde3d251d8bd2d1HB53dy-GVJV
游戏制作人,乐享元游,500-999人,游戏,本科,5-10年,[],"['公共图书室', '员工旅游', '专业培训室', '年底双薪', '全勤奖', '零食下午茶', '餐补', '节日福利', '交通补助', '年终奖', '周末双休', '五险一金', '包三餐', '定期体检', '带薪年假']",50000.0,40-60K·13薪,广东,广州,,,113.34048652645488,23.138315543598303,https://www.zhipin.com/job_detail/8bcd8ec4a2d680da0nF93dq7E1BX.html,8bcd8ec4a2d680da0nF93dq7E1BX
游戏策划/制作人,逸游游戏,20-99人,游戏,大专,5-10年,"['卡牌/战棋', '模拟经营', 'SLG游戏']","['交通补助', '节日福利', '团建聚餐', '餐补', '带薪年假', '五险一金']",25000.0,20-30K,广东,广州,天河区,棠下,113.38100958034379,23.124859310348942,https://www.zhipin.com/job_detail/7def08a62837d71a0nF43d6_E1FR.html,7def08a62837d71a0nF43d6_E1FR
高级Unity游戏开发工程师（双休）,中杰宝科技,20-99人,计算机服务,本科,5-10年,"['DirectX/Direct3D', 'Unity3D', '热更新框架', 'HybridCLR', 'Shader开发经验', 'OpenGL', '性能优化', 'Lua', '手游开发经验', 'Addressable 资源管理', '计算机/软件工程相关专业', 'URP Shader']","['零食下午茶', '五险一金', '夜班补助', '保底工资', '带薪年假', '全勤奖', '节日福利']",20000.0,18-22K,广东,广州,海珠区,琶洲,113.37803188614696,23.096609864896813,https://www.zhipin.com/job_detail/c980096e44e6b5100nB83tm9EFZQ.html,c980096e44e6b5100nB83tm9EFZQ
游戏UI设计师,广州方趣玩,20-99人,游戏,大专,5-10年,"['五险一金', '带薪假期', '现场办公', '游戏行业经验', 'PS', '餐补', 'AI', '1-3年UI设计经验', '大小周', '有UI设计经验/技能', '甲方公司']","['餐补', '零食下午茶', '生日福利', '带薪年假', '有无线网', '节日福利', '全勤奖', '五险一金']",14000.0,12-16K,广东,广州,天河区,棠下,113.38671739159248,23.126385605865558,https://www.zhipin.com/job_detail/44bb89b37fe9e3aa1HN63t61ElRQ.html,44bb89b37fe9e3aa1HN63t61ElRQ
测试开发工程师,乐游方舟,100-499人,游戏,本科,3-5年,"['丰富的游戏经验', '手游测试经验', '开发经验', '计算机相关专业']","['带薪年假', '五险一金', '餐补', '团建聚餐', '节日福利', '年终奖', '有无线网', '员工旅游', '股票期权', '生日福利', '零食下午茶', '节假日加班费', '定期体检', '包吃']",14500.0,11-18K·13薪,广东,广州,天河区,天河公园,113.371024,23.124616,https://www.zhipin.com/job_detail/d435c1f91db0571403N639y9FVdV.html,d435c1f91db0571403N639y9FVdV
